Player,GP,PTS,+/-,PIM,S,TOI,BLK,HIT
Dillon Dube\dubedi01,25,5,2,4,22,252,3,11
Brandon Dubinsky\dubinbr01,61,14,-16,36,63,754,28,147
Pierre-Luc Dubois\duboipi01,82,61,16,64,174,1453,52,115
Matt Duchene\duchema01,73,70,-3,8,172,1375,40,28
Anthony Duclair\duclaan01,74,33,-2,14,132,940,33,32
Mathew Dumba\dumbama01,32,22,-5,21,93,748,43,60
Brian Dumoulin\dumoubr01,76,23,31,20,99,1598,129,141
Vince Dunn\dunnvi02,78,35,14,45,150,1368,68,48
Christian Dvorak\dvorach01,20,7,-2,2,25,288,7,16
Ryan Dzingel\dzingry01,78,56,-9,29,159,1312,38,54
Cody Eakin\eakinco01,78,41,19,16,120,1200,35,88
Patrick Eaves\eavespa01,7,0,-4,4,6,97,1,14
Jordan Eberle\eberljo01,78,37,-6,17,160,1289,35,36
Alexander Edler\edleral01,56,34,3,54,128,1376,166,127
Joel Edmundson\edmunjo01,64,11,8,68,102,1241,106,128
Nikolaj Ehlers\ehlerni01,62,37,2,15,158,977,16,27
Christoffer Ehn\ehnch01,60,9,-5,6,49,637,39,70
Jack Eichel\eicheja01,77,82,-11,26,303,1574,51,70
Aaron Ekblad\ekblaaa01,82,37,1,47,180,1939,88,114
Mattias Ekholm\ekholma01,80,44,27,47,146,1869,107,68
Oliver Ekman-Larsson\ekmanol01,81,44,-16,52,176,1915,52,162
Remi Elie\eliere01,16,1,-3,2,9,166,3,30
Lars Eller\ellerla01,81,36,-1,37,163,1339,47,69
Stefan Elliott\elliost01,3,1,1,0,3,27,1,2
Ryan Ellis\ellisry01,82,41,21,20,149,1969,154,71
Deryk Engelland\engelde01,74,12,-3,18,105,1471,152,165
Andreas Englund\engluan01,3,0,-2,10,2,40,2,5
Tyler Ennis\ennisty01,51,18,-6,2,81,507,14,49
Jonathan Ericsson\ericsjo01,52,5,-10,35,48,895,56,98
Loui Eriksson\erikslo01,81,29,-11,22,107,1139,28,3
Joel Eriksson Ek\eriksjo02,58,14,-7,20,111,783,24,117
Adam Erne\ernead01,65,20,10,40,70,686,26,159
Robby Fabbri\fabbrro01,32,6,-4,6,43,405,8,30
Dante Fabbro\fabbrda01,4,1,-1,0,5,51,6,3
Radek Faksa\faksara01,81,30,-3,54,114,1331,65,103
Justin Falk\falkju01,10,0,-4,11,7,129,9,36
Oscar Fantenberg\fanteos01,61,4,3,17,70,976,74,91
Jesper Fast\fastje01,66,20,-3,26,80,1038,47,120
Justin Faulk\faulkju01,82,35,9,47,217,1839,121,156
Taylor Fedun\fedunta01,54,11,2,14,86,748,58,19
Eric Fehr\fehrer01,72,15,-8,30,67,795,48,40
Micheal Ferland\ferlami01,71,40,13,58,156,1001,19,182
Kevin Fiala\fialake01,83,39,-23,36,174,1298,20,42
Valtteri Filppula\filppva01,72,31,19,16,78,1028,34,12
Christian Fischer\fischch01,71,18,-13,27,116,935,19,124
Haydn Fleury\fleurha01,20,1,4,2,17,251,21,25
Warren Foegele\foegewa01,77,15,-17,20,106,962,19,126
Steven Fogarty\fogarst01,10,0,-1,0,9,78,3,6
Marcus Foligno\foligma01,82,19,-1,55,91,982,43,206
Nick Foligno\foligni01,73,35,12,44,141,1292,51,175
Christian Folin\folinch01,45,6,6,27,47,705,78,125
Derek Forbort\forbode01,81,14,-13,52,75,1680,139,105
Alex Formenton\formeal01,9,1,-2,6,16,105,7,11
Jakob Forsbacka Karlsson\forsbja01,28,9,1,2,21,330,9,14
Filip Forsberg\forsbfi01,64,50,8,26,217,1191,29,100
Gustav Forsling\forslgu02,43,9,-9,30,57,735,38,38
Alexandre Fortin\fortial01,24,6,-6,2,29,254,7,21
Cam Fowler\fowleca01,59,23,-14,20,88,1379,91,32
Trent Frederic\fredetr01,15,0,-4,15,19,141,3,18
Mark Friedman\friedma01,1,0,-1,0,1,13,0,1
Tanner Fritz\fritzta01,8,1,-3,2,6,87,6,18
Martin Frk\frkma01,30,6,-9,4,28,276,4,35
